# P_inf(ij,kl,B,A) -- rows: (B-1)*6+ij, cols: (A-1)*6+kl
   9.80324050388907E-01   6.93528655713386E-03   2.96177801083810E-01  -2.00480047896556E-13  -8.70837682748290E-18   7.37416171948767E-18  -4.90162025194452E-03  -3.46764327856776E-05  -1.48088900541904E-03   1.16847997017467E-15  -2.29299770713250E-17  -3.48886556757898E-19  -4.90162025194455E-03  -3.46764327856340E-05  -1.48088900541907E-03   9.97530489320598E-16   2.45218721410372E-17  -4.95937304114145E-19
   6.93528655713331E-03   9.80324050388907E-01   2.96177801083810E-01   2.00421474795447E-13   3.77639517180347E-17  -2.16047089827617E-17  -3.46764327856658E-05  -4.90162025194444E-03  -1.48088900541905E-03  -1.17659346930884E-15   2.29452243942806E-18   1.02128744233782E-18  -3.46764327856489E-05  -4.90162025194477E-03  -1.48088900541908E-03  -9.87475978817821E-16  -2.89564323517014E-18   3.75849882081196E-19
  -3.57515398458613E-17  -3.16824505545482E-17  -5.88094174887669E-17  -3.86800393022676E-18  -4.63959554395805E-17   2.70429853337394E-17  -3.50664969475311E-18   1.11784562002378E-17  -2.86732445445458E-18  -1.21029828629206E-17  -2.74888521955293E-17  -3.42301632028983E-19   2.09310278804581E-19   3.41320583379762E-17  -6.51002204130869E-18   1.26573850907044E-18   2.88074139893422E-17  -1.40613967644430E-19
  -4.00575641290648E-13   4.01096976682621E-13   4.29584785868625E-17   9.89784992278076E-01   5.31713152379333E-17  -6.58633187953575E-17   2.30004590819372E-15  -2.44633890276327E-15  -6.30124973903605E-17  -4.94892496139056E-03   1.95411790982705E-17  -5.61767478059529E-19   2.40775294885605E-15  -2.13994271235978E-15   7.75786214968004E-17  -4.94892496139027E-03  -2.93945349297052E-17  -7.98390338146804E-19
  -5.84031816189524E-17  -5.04892437339308E-17   2.65337100717269E-16   1.55201055002458E-17   9.77570090570399E-01  -1.35267241728974E-16   2.33433195545478E-17   7.53947660537403E-17   6.30836548547981E-17  -1.54305285429579E-17  -4.88785045285184E-03   1.27982503105434E-16   1.44704914680316E-17  -1.07643317701466E-16  -1.60644106593037E-17   1.23915358357640E-17  -4.88785045285213E-03   1.27327525339868E-16
  -7.99081359186238E-17   6.65481695765301E-17  -7.23479983530336E-18  -1.94558329523528E-17  -6.00056454735575E-17   9.77570090570393E-01  -2.98236967000584E-17  -3.94718015744172E-17  -4.29329076936014E-17  -1.11549783017667E-16   1.05181148450271E-16  -4.88785045285198E-03   1.82457881936975E-17   7.61074470745574E-17   3.33882267795986E-17  -7.51639004910420E-18  -4.63187785007060E-16  -4.88785045285197E-03
  -6.02027975216259E-01  -4.25903712336689E-03  -1.81886103701888E-01   1.43861753969645E-13  -2.65151264826739E-17  -1.49078693534241E-17   5.11415292319319E-03  -5.33170354958599E-04   1.37429477047015E-03   2.45762736855249E-13   7.34831412267477E-17   4.74155828257252E-17   9.06126828969617E-04   5.75760726192189E-04   4.44566266548509E-04  -2.47404488342315E-13   1.68906112102242E-17  -5.72220242733410E-17
  -4.25903712336279E-03  -6.02027975216254E-01  -1.81886103701888E-01  -1.43220754061270E-13  -2.14167239930882E-15   5.63831564024452E-16   1.91529836954000E-01   4.53261169977429E-01   1.93437302079428E-01  -5.82224250626322E-12  -1.24871229971740E-15  -7.30398950672551E-17  -1.91487246582766E-01  -4.47240890225266E-01  -1.91618441042411E-01   5.82409574418727E-12   1.07914930735781E-15   4.41399905751295E-17
  -5.18184959874829E-17  -7.86340351630647E-17   1.61630053350606E-17  -3.05277085411586E-17  -2.47118440638854E-16   5.26172773147151E-17   2.61503122632603E-17  -2.09678486280489E-17  -2.27681091872861E-16   5.48999415608732E-17  -3.96186452221493E-18   1.17819367571081E-18   2.33214997735274E-17  -1.31977888745885E-17   4.99382415808932E-17   7.85772017827405E-17  -4.95989064239351E-17   3.63186810719767E-17
   3.42894903360191E-13  -2.68436467228011E-13   1.45474681967026E-14  -6.07838045556713E-01   4.03229253984209E-15   1.33016093120763E-15  -7.87514801775027E-12  -2.00130818700357E-11  -8.36669249197334E-12   3.51590388571464E-01  -7.53401337814444E-16   1.55579018246361E-16   7.87110273778676E-12   2.00161685238999E-11   8.36634914518597E-12  -3.45512008115899E-01   8.74150450483218E-16   6.96938956913527E-17
   7.74520445802628E-15  -3.41513349879391E-15   1.13831607659547E-14  -1.47048924706018E-15  -6.00336737657895E-01   8.88435025718288E-15   1.75407746579083E-15   4.03984716026653E-15   1.56666338596521E-15  -3.80104963016778E-15   4.02219238183859E-01   2.87469916527639E-13  -1.58223434748677E-15  -4.12204086723390E-15  -2.06210197006645E-15   3.48561143499286E-15  -3.96215870807281E-01  -2.88013997915754E-13
  -7.35358652456704E-17   3.16597315577347E-17   3.58485399843512E-17   2.89881867216315E-16   1.51992587654557E-14  -6.00336737657914E-01  -1.45096543438128E-16   1.53670239721745E-16  -1.64461057342997E-16   3.82454566528705E-17   2.87563125174288E-13   4.18100299333898E-03  -2.53383291063843E-17  -1.16104070325429E-16   6.33360397819341E-17   2.42426588805266E-17  -2.87863615248795E-13   1.82236438324060E-03
  -6.02027975216257E-01  -4.25903712336718E-03  -1.81886103701887E-01   1.44213452627345E-13  -3.65167101790553E-17  -1.99390072011586E-16   9.06126828969803E-04   5.75760726192389E-04   4.44566266548639E-04  -2.47447673341922E-13   9.25335023685243E-17  -3.02972560758948E-17   5.11415292319352E-03  -5.33170354958622E-04   1.37429477047038E-03   2.45932632150232E-13   3.37045490840869E-17   4.34389843616457E-17
  -4.25903712337077E-03  -6.02027975216255E-01  -1.81886103701889E-01  -1.44259678031765E-13   2.13637796579404E-15  -3.07285440765735E-16  -1.91487246582766E-01  -4.47240890225266E-01  -1.91618441042411E-01   5.82376542582247E-12   8.64021120779707E-16   2.23876394397390E-17   1.91529836953999E-01   4.53261169977431E-01   1.93437302079428E-01  -5.82242096143974E-12  -1.19203297393251E-15  -8.45034616196410E-18
  -3.35101365745258E-17  -5.24875874865369E-18  -1.91958521696991E-17  -6.98474208034822E-17  -3.74692461656752E-17   2.29074913579782E-16   2.15520063764232E-18   6.31707092917882E-18   1.11227823744751E-16  -1.47103908614013E-17   5.05644323207117E-17   6.71091624035194E-17  -3.95150608682439E-18   2.94045256697806E-17   1.97355275782709E-17   1.06589101558158E-17   4.73559132551294E-17  -6.34343877808373E-17
   1.89831104146373E-13  -2.64582679912412E-13  -1.48088736634829E-14  -6.07838045556670E-01  -4.31269935344277E-15  -1.27753011562021E-15   7.87216150109252E-12   2.00165746093031E-11   8.36647271867646E-12  -3.45512008115896E-01   7.82224190500436E-16  -1.43790863701878E-16  -7.87406479304148E-12  -2.00134353275242E-11  -8.36647737852673E-12   3.51590388571464E-01  -7.61172120351582E-16  -7.43901452973903E-17
  -7.49085565156580E-15   3.59947973521406E-15  -1.15134414734133E-14   1.94298474897568E-15  -6.00336737657935E-01  -4.04484658856137E-14  -1.71347836688220E-15  -3.77918368773064E-15  -1.50681151854666E-15   3.10442944337241E-15  -3.96215870807281E-01  -2.87424325830245E-13   1.48130545211513E-15   3.68816112473715E-15   1.80577226286556E-15  -3.59290846807338E-15   4.02219238183860E-01   2.87905173532982E-13
   7.26257474331202E-17   1.29626593475696E-17   2.99472526278248E-16  -2.89436600292757E-16   1.75735340921940E-14  -6.00336737657914E-01   4.73046852234617E-18  -7.75349488730044E-18   9.55817917588633E-17  -1.79256392526450E-16  -2.87842851105344E-13   1.82236438324053E-03  -1.63133365006815E-16   5.64821260035071E-17  -2.85844708614145E-16  -9.07363759127913E-17   2.88153283940957E-13   4.18100299333885E-03
