# E_inf(ij, kl, B)  -- rows: (B-1)*6+ij, cols: kl
   2.94791901149768E-02  -6.86593369156194E-03  -2.93216023072974E-01   1.98222468570033E-13   1.12384670943638E-17   4.75583064730419E-17
  -6.86593369156216E-03   2.94791901149707E-02  -2.93216023072974E-01  -1.98166356060999E-13  -2.37449917422041E-18   1.17676357190826E-17
   3.51595318472941E-18   2.93543688927037E-17   1.00000000000000E+00  -2.83901277418528E-17  -1.52418146411075E-18  -4.34170390101338E-17
   3.95613494975566E-13  -3.96323842610681E-13  -1.06992228385035E-16   2.01128576447064E-02  -1.33856368140617E-16   9.84750651916920E-18
   1.95199291064255E-16  -2.80497090226209E-17   4.46705435535695E-16  -2.89618627232311E-17   3.22056103353106E-02   2.09876228904258E-16
   1.50777931038644E-16   1.90817149894590E-17   9.08193084274586E-17   7.06116869596687E-17   2.82831321968372E-16   3.22056103353050E-02
   1.59600769546410E+00   4.21644675213355E-03   1.80067242664869E-01  -1.42804833849942E-13   6.05660411179099E-16  -5.26607448055199E-16
   4.21644675212791E-03   1.59600769546409E+00   1.80067242664858E-01   1.49657949498911E-13  -3.01840809119442E-15  -3.42953024995845E-16
  -1.30358445022663E-16   2.87379291528952E-16   1.00000000000000E+00   8.82643452898895E-17  -8.28408986016379E-16   1.12951477656417E-16
  -2.94843306632237E-13   2.74729669805407E-13  -1.33542981555774E-14   1.60175966510113E+00  -2.04330848886755E-15   3.87707338164952E-15
  -8.48853729538448E-15   1.44828614906326E-14  -2.64756535315746E-14   3.94756394292784E-15   1.59433337028133E+00  -9.96864919326066E-15
   3.84007959201237E-16   1.59459234462192E-16  -2.25119600195517E-16  -1.74232691529452E-16  -1.44407265703646E-14   1.59433337028134E+00
   1.59600769546410E+00   4.21644675213244E-03   1.80067242664870E-01  -1.42428027128428E-13  -1.08358930466805E-16   4.73321866779291E-16
   4.21644675213831E-03   1.59600769546411E+00   1.80067242664878E-01   1.35920046369177E-13   2.53595194767425E-15  -1.11812224469713E-17
  -2.37912381766261E-16  -3.66700844155799E-17   1.00000000000000E+00   8.22174434217473E-17   4.44461330210462E-16   6.22757576880972E-16
  -2.31260611429256E-13   2.52455934113511E-13   1.40918446076365E-14   1.60175966510111E+00   2.21028733213268E-15  -3.35345458804116E-15
   8.51211651326668E-15  -1.48584428117871E-14   2.57571705807049E-14  -3.79856003413722E-15   1.59433337028135E+00   4.10224450643943E-14
   2.39508391842421E-16  -1.16376757691870E-16  -1.54633444750525E-16   1.01037762329420E-16  -1.71050648888020E-14   1.59433337028133E+00
